,COMMODITIES,SpGr ,Temp,Correction factor,Ship Type,Tank Type,Pollution cat,Compliance,USCG compat,Boiling point,Melting point,Flash point,Heat adjacent,Heat req V,Heat req D,Colour,Solubility,UnNr,
,Alpha Olefins C-14,.760,,, , ,N,Y,30,256,-12,110,49,N,,ww,N,,"water, therefore use Stolt A or B as required."
,Alpha Olefins C-18,.790,,,3,2G,B,N,30,318,,121,49,N,,ww,N,,
,Alpha Olefins C-6,.700,,,3,2G,B,Y,30,63,,-26,N,N,,ww,N,,
,Alpha Olefins C-7,.700,,,3,2G,B,Y,30,99,,-26,N,N,,ww,N,,
,Alpha Olefins C-8,710,,,3,2G,B,Y,30,121,,21,38,N,,ww,N,,
,Alpha Olefins C-9,.740,,,3,2G,B,Y,30,149,,26,38,N,,ww,N,,
,Alpha Olefins 10/13,.760,,,3,2G,B,Y,30,204,,41,38,N,,ww,N,,
,Alpha Olefins 10/14,.760,,,3,2G,B,Y,30,213,,49,38,N,,ww,N,,
,Alpha Olefins 11/12,.760,,,3,2G,B,Y,30,204,,41,38,N,,ww,N,,
,Alpha Olefins 11/14,.770,,,3,2G,B,Y,30,216,,66,38,N,,ww,N,,
,Alpha Olefins 12/14,.760,,,3,2G,B,Y,30,104,,32,38,N,,ww,N,,
,Alpha Olefins 13/14,.780,,,3,2G,B,Y,30,243,,66,38,N,,ww,N,,
,Alpha Olefins 14/15,.760,,,3,2G,B,Y,30,252,,93,38,N,,ww,N,,
,Alpha Olefins 14/16,.,,,,,,,,,,,, ,, ,,,
,Alpha Olefins 14/18,.760,,,,,,N,30,199,,116,38,N,,ww,N,,
,Alpha Olefins 15/16,.790,,,,,,N,30,260,,113,49,N,,ww,N,,
,Alpha Olefins 15/18,.800,,,,,,N,30,218,7,118,49,N,,ww,N,,
,Alpha Olefins 16/18,.760,,,,,,N,30,288,,118,49,21,,ww,N,,
,Alpha Olefins 6/7,.700,,,3,2g,B,Y,30,79,,-23,N,N,,ww,N,,
,Alpha Olefins 6/8,.700,,,3,2g,B,Y,30,93,,,38,N,,ww,N,,
,Alpha Olefins 6/8/10,.710,15,,3,2g,B,Y,30,104,,10,38,NO,,ww,NO,,
,Alpha Olefins 8/10,.720,,,3,2g,B,Y,30,177,,7,38,N,,ww,N,,
,Alpha Olefins 8/9,.740,,,3,2g,B,Y,30,135,,24,38,N,,ww,N,,
,Olefins (shell) 124,,,,,,,,,,,,,,,,,,
Alphenol 79,,.830,20,.00075,3,2g,c,Y,20,177,,73,32,N,,ww,,,This is an isooctyl Alcohol from ICI. (C-7/C-9).
,,,,,,,,,,,,,,,,,,,"Avoid adjacent heat, but can take 50C for a very"
,,,,,,,,,,,,,,,,,,,"short periode. Strict inspection, but no wallwash."
,,,,,,,,,,,,,,,,,,,"Warm wash, ventilate. Correct IMO name is"
,,,,,,,,,,,,,,,,,,,Octanol(all Isomers) Compliance cargo because
,,,,,,,,,,,,,,,,,,,of pollution hazards.
Aluminum solution,,.920,,,,,,,,,-23,,,,,,,,Sensitive to air and light. Get spec.  and handling
,,,,,,,,,,,,,,,,,,,instruction prior to booking. N2 purge and blank-
,,,,,,,,,,,,,,,,,,,eting is  must. Not listed in the IMO code.
Aluminum sulfate solution,,1.300,15,,,,N,N,43,105,,,,,,,Y,,Coating resistancy is for a 30% solution. May be
,,,,,,,,,,,,,,,,,,,"corrosive to SS, therefore carry inerted and dry."
,Aluminum sulfate liquid,,,,,,,,,,,,,,,,,,"Clean immediatedly after discharged, using plent"
,,,,,,,,,,,,,,,,,,,water. Marpol app. 3. Not compatible with  5-11.
Aminoethylethanolamine,,1.030,25,.00077,3,2g,D,Y,8,243,-39,129,43,N,,ww,N,,w/w standard. Avoid heat adjacent. Cold wash
,Aminoethyl amino ethanol-2-2,,,,,,,,,,,,,,,,,,followed by hot and steam. May requiere some 
,Hydroxyethylethylenediamine-n-b,,,,,,,,,,,,,,,,,,heat in cold climate. Dow allows max. 43C adjac.
,"Hydroxyethyl-1,2-ethanediamine-n",,,,,,,,,,,,,,,,,,
,Aminoethyl ethanol-2-n,,,,,,,,,,,,,,,,,,
Aminoethylpiperazine-n,,.983,15,.00080,3,2g,D,Y,7,220,,93,,,,yellow,Y,2815,"Most probably SS stow only, although Camrex"
,Piperazineethanine-1,,,,,,,,,,,,,,,,,,says Camkote N is ok. Check for possible heat
,1-(2-Aminethyl)piperazine,,,,,,,,,,,,,,,,,,requirements. Should be handled as an Amine.
,,,,,,,,,,,,,,,,,,,"Clean with warm water, ventilate."
Ammonina anhydrous,,.639,,.00130,,,N,Y,6,-33,-78,,N,N,,ww,Y,,Gas Code.
,Liquid amino,,,,,,,,,,,,,,,,,,
Ammonium bisulfite 70%,,1.38,15,,3,2g,,Y,43,100,,,amb,N,N,Yellow,Compl,,Toxic and corrosive.Gives off Sulfur -dioxide gas
,,,,,,,,,,,,,,,,,,,if heated above 65C. Compliance cgo. with 
,,,,,,,,,,,,,,,,,,,Cyclohexylamine as ref. cargo. compatibility #
,,,,,,,,,,,,,,,,,,,"43 but not compatible with #1,3,4,and 5. Clean with"
,,,,,,,,,,,,,,,,,,,"cold water, be sure all cgo. residues are removed"
,,,,,,,,,,,,,,,,,,,before final cling. with steam. Not listed in IMO.
Ammonium Hydroxide 28%,,.900,15,.0002,3,2g,C,Y,6,32,-97,32,N,N,,ww,Y,2672,w/w standard. Very low boiling point. Flush deck 
,Aqua ammonia (ammonia water),,,,,,,,,,,,,,,,,,in tropic climate. Note: Check concentration each
,Aqueius ammonia,,,,,,,,,,,,,,,,,,booking. Stripping with piston pumps may cause
,Household ammonia,,,,,,,,,,,,,,,,,,problen because of the high vapour  pressure.
Ammoniun nitrate solution 93% or less,,,,,2,1g,D,Y,,,,,,,,,,2426,Compliance cargo.IMO chapter 6 with very special
,,,,,,,,,,,,,,,,,,,requierements. Very high heat. Can stow in solid 
,Norway saltpeter,,,,,,,,,,,,,,,,,,austenitic stainless steel tanks only. Not assigned
,,,,,,,,,,,,,,,,,,,to any compatibility group. contact USCG.
Amonium polyphosphate,,1.430,15,.00030,,,,N,43,,,,Y,N,N,,Y,,More infos needed. not listed in IMO.
Ammonium Sulfide solution (45%or less),,.992,15,.00034,2,2g,B,Y,5,35,-18,22,N,N,N,green,Y,2683,"Compliance cargo, requiers cooling or pressure"
,KI-310 Depressant,,,,,,,,,,,,,,,ish,,,"tk. Alkaline solution. ph9,5. Doubthfull in Zinc, but "
,Ammonium Bisulfide,,,,,,,,,,,,,,,,,,should be ok in Phenolic. Clean with Plenty water
,,,,,,,,,,,,,,,,,,,At ambient Temp.
Ammonium Thiosulphate 60% or less,,1.340,15,,3,2g,C,N,34,,-5,,Y,Y,,clear,Y,,Check concentration/grade each time.
,Ammonium hyposilphite,,,,,,,,,,,,,,,,,,Heating nay be reequired. Warm wash.
Amyl acetate,,.880,20,.00096,3,2g,C,N,34,142,-71,23,N,N,,ww to,N,1104,"w/w standard, no bulkhead test. Warm wash, "
,Pentyl Acetate,,,,,,,,,,,,,,,yellow,,,"steam and ventilate, IMO list tree different grades:"
,Banana oil,,,,,,,,,,,,,,,,,,"Normal, secondary and commercial."
,Pearoil,,,,,,,,,,,,,,,,,,
,Amyl ester-n,,,,,,,,,,,,,,,,,,
Amyl alcohol-norm,,.810,20,.00071,,,D,N,20,138,-78,38,38,N,,ww,sli,1105,"MEOH standard. No wall wash, but UCC has odor"
,Amyl alcohol-1,,,,,,,,,,,,,,,,,,"spec. After discharge ventilate tank dry, no water"
,Butyl carbinol-n,,,,,,,,,,,,,,,,,,washing necessary. IMO lists 4 different grades:
,Pentyl Alcohol,,,,,,,,,,,,,,,,,,"normal, secondary, tertiary and primary."
,Amylene hydrate,,,,,,,,,,,,,,,,,,
,Pentanol-1,,,,,,,,,,,,,,,,,,
,N-amyl alcohol,,,,,,,,,,,,,,,,,,
"Amyl alcohol, Primary",,.800,15,.00616,,,D,N,20,133,-90,45,N,N,N,ww,sli,1105,"Sensitive cgo from UCC. Mixture of 1-pentanol,"
,Primary amyl alcohol,,,,,,,,,,,,,,,,,,2-methylbutanol and some 3-methylbutanol. ww
,Primer amylalcohol,,,,,,,,,,,,,,,,,,"standard. Nitrogen may be req. Warm wash, vent."
,Primer amyl alcohol,,,,,,,,,,,,,,,,,,
Amylene Hydrate,,.810,,,3,,D,N,20,102,-12,,35,N,N,ww,sli,1105,"ww standard, no bulkhead test. Warm flush, vent."
,Dimethyl ethyl carbinol,,,,,,,,,,,,,,,,,,Correct IMO name is tert-Amyl Alcohol
,Methyl-2-butanol-2,,,,,,,,,,,,,,,,,,
,"Pentanol, tert",,,,,,,,,,,,,,,,,,
,Amyl alcohol-tert,,,,,,,,,,,,,,,,,,
An/Styrene copolymer in polyether polyol,,1.040,20,,3,,N,N,20,,-25,182,37,N,N,,N,,Easy product. no problems reported. Marpol 
,,,,,,,,,,,,,,,,,,,"annex 3, noncomplianxe as per tripartite"
,,,,,,,,,,,,,,,,,,,agreement USA/Brasil/Liberia.
Anchovy oil,,.950,,,,,D,N,34,176,-5,204,37,,,pale,sli,,Semi drying oil. No adjacent heat. Do not steam or 
,,,,,,,,,,,,,,,,to,,,hot wash adjacent tanks. Check FFA before stow
,,,,,,,,,,,,,,,,brown,,,in zinc. Prewash eith ambient water soonest after 
,,,,,,,,,,,,,,,,,,,"discharge. Use Stolt C for final cleaning,and LAC"
,,,,,,,,,,,,,,,,,,,on dried spots.
Anhydrous alcohol,,,,,,,,,,,,,,,,,,,No info
,Synthetic alcohol,,,,,,,,,,,,,,,,,,
Aniline,,1.020,15,.00080,2,2g,C,Y,9,184,-6,76,N,N,N,ww,sli,1547,"Poisonous cargo, absorbed through skin. ww"
,Amino benzene,,,,,,,,,,,,,,,pale,,,standard req. If stowing Zinc tank must be 100%
,Aniline oil,,,,,,,,,,,,,,,brown,,,dry and N2 blanket during voyage. Aniline is color
,Blue oil,,,,,,,,,,,,,,,,,,sensitive to oxygen and light. Clean with ambient 
,Phentylamine,,,,,,,,,,,,,,,,,,"water first, than hot  and steam - vent."
Anivax (Paraffin exon),,.870,,,,,D,N,31,204,,162,,,,off,,,Exxon product.Check.
