,COMMODITIES,SpGr ,Temp,Correction factor,Ship Type,Tank Type,Pollution cat,Compliance,USCG compat,Boiling point,Melting point,Flash point,Heat adjacent,Heat req V,Heat req D,Colour,Solubility,UnNr,
,Propylethylene,,,,,,,,,,,,,,,,,,regulations. Expect high boil off in warm climate.
,Amylene-n-a,,,,,,,,,,,,,,,,,,"Clean with cold water, ventilate."
Phenol,,1.070,15,.00090,2,2g,B,Y,21,182,41,78,Y,49,60,pink/wh,sli,2312,Highly poisonous. Handle with care. Toxic  heat
,Nitro-phenol,,,,,,,,,,,,,,,,,,return required. Get heating instructions. May req. N2
,Carbolic Acid,,,,,,,,,,,,,,,,,,Hot wash and steam. Several grades with different
,Hydroxybenzene,,,,,,,,,,,,,,,,,,specs. and heating instructions. Dow allow max
,Phenic Acid,,,,,,,,,,,,,,,,,,heat adjacent 55C.
,Phenyl Hydroxide,,,,,,,,,,,,,,,,,,
Phenol Hydrate,,,,,2,2g,B,Y,21,,,,,,,,sli,2312,Mix of Phenol and water. handle as Phenol.
,,,,,,,,,,,,,,,,,,,May require heating.
Phenyl-1-xylyl Ethane-1,,.988,20,,3,2g,C,Y,32,290,-50,148,,amb,amb,ww,N,,ww standard. Check for N2 and other carriage req.
,,,,,,,,,,,,,,,,,,,Clean with ambient temp. water ventilate.
Phosphoric Acid,,1.750,,,3,2g,D,Y,1,,,,50,N,N,,,1805,"Get spec. each time, re : SS manufacturers"
,,,,,,,,,,,,,,,,,,,resistency list. Handling and cleaning as per
,Ohrtophosphoric Acid,,,,,,,,,,,,,,,,,,Stolt manual.
,,,,,,,,,,,,,,,,,,,This spec. is for Phos. Acid Wet. Phos Acid pure
,,,,,,,,,,,,,,,,,,,or food grade has diff. spec and handling instr.
,,,,,,,,,,,,,,,,,,,Re Super Phos. Acid check with Ops Dep.
Phosphorous,,1.820,,,1,1g,A,Y,,282,44,30,,,,dk straw,N,1805,Req special eqp. Check Gen Ops.
Phosphorous elemental (montsanto),,1.700,,,1,1g,A,Y,,279,43,,Y,,46,lt yell,,1805,Req special eqp. Check Gen Ops.
Phosphorus oxychloride,,1.585,,,,,,,,,,,,,,,,,Not authorized for bulkshipment
Phosphorus Trichloride,,1.580,,,,,,,,,,,,,,,,,Not authorized for bulkshipment
Piene-alpha/beta,,.860,,,3,2g,A,Y,30,154,-40,32,38,N,N,www,N,2368,Similar to refined Turpentine. Handle accordlingy.
,,,,,,,,,,,,,,,,,,,"Presently ca A, but proposed downgrade to cat B."
,,,,,,,,,,,,,,,,,,,witch some contrys allready accepts check.
Piperazine 65,,1.100,,,,,,,,145,104,87,N,N,N,cless,Y,,Mor info req
,"Diazacyclohexane 1,4",,,,,,,,,,,,,,,,,,
Piperylene,,.690,,,3,2g,C,Y,30,42,,-29,N,N,N,ww,N,,"Classified as 1,3-Pentadiene (Inhibited) Low boiling"
,"Pentadiene-1,3",,,,,,,,,,,,,,,,,,"point, do not stow heated cargoes adjacent."
,,,,,,,,,,,,,,,,,,,Clean with ambient temp water.
PKO hard fraction (wessanen),,.900,,,3,,D,N,34,177,32,160,Y,46,46,lt,N,,Circulation may be required if single skin.
,,,,,,,,,,,,,,,,,,,settles on bottom. Hot wash. Stolt C fo r spots:
"Polybutadiene, hydroxyl Terminated",,.901,30,,3,,,N,20,260,-1,229,Y,43,54,clear,negl,,ww standard. N2  blanketing required. Get heating 
,,,,,,,,,,,,,,,,,,,"instructions. Not listed in  any resistancy lists, but "
,Poly BD resin,,,,,,,,,,,,,,,,,,belived OK for all coatings. Clean with hot water as
,Poly BD R-45HT,,,,,,,,,,,,,,,,,,soon as tank empty. Use  Stolt C if  film on bulkhead
,,,,,,,,,,,,,,,,,,,Stolt A or B for spots.
,,,,,,,,,,,,,,,,,,,Marpol annex lll. correct IMO name is
,,,,,,,,,,,,,,,,,,,Hydroxy terminated polubutanediene.
Polybutene,,.840,,,3,,N,N,30,204,21,166,Y,,82,honey,N,,Lubricant with various trade names depending on
,Lubrizol 17109,,,,,,,,,,,,,,,,,,manufakturer. High heat required (82C disc).
,Butene Resins,,,,,,,,,,,,,,,,,,Hot wash. Stolt A or B. Marpol annex lll.
,Polyisolbutene Plastics,,,,,,,,,,,,,,,,,,
,Polybutylene,,,,,,,,,,,,,,,,,,
,Poyisolbetene Waxes,,,,,,,,,,,,,,,,,,
,Polyisobutene,,,,,,,,,,,,,,,,,,
Polyethylene glycol,,1.000,,,3,,N,N,40,204,-21,191,,,,white,Y,,Higher grades require wall wash and odor test.
,Polyether Glycol,,,,,,,,,,,,,,,,,,"N2 may be rquired. Heat, odor and color sensitive."
,Peg,,,,,,,,,,,,,,,,,,May require heat be careful. Marpol annex lll.
,Polyoxyethylene Polyglycol,,,,,,,,,,,,,,,,,,
,Caradols,,,,,,,,,,,,,,,,,,
Polyethylene Polyamine,,1.100,20,.00602,3,2g,C,Y,7,250,20,218,y,38,49,drk,Y,,"Handle as an Amine. Get heating instructions, check"
,Polyamine HPA#2 UCC,,,,,,,,,,,,,,,,,,"if N2 requiered. Have carried in Phen 373, no probl."
,Polyamine HPA#1 UCC,,,,,,,,,,,,,,,,,,Beliven zinc should be OK as well. Ucc has two diff
,Ethylene amine,,,,,,,,,,,,,,,,,,"grades, Polyamine HPA#1 and HPA#2"
,,,,,,,,,,,,,,,,,,,"Handle same way, Clean  with warm water  ventilate."
Polyner 600 (chevron),,.828,15,,,,,N,30,295,-60,135,40,N,N,amb,N,,Should be easy product. Get full specs and if any
,,,,,,,,,,,,,,,,,,,special handling instructions. Product similar to 
,,,,,,,,,,,,,,,,,,,Propulene Polymer or Propylene Tetramer.
,,,,,,,,,,,,,,,,,,,"Clean with hot water, Use Stolt A or B as necessary."
Poly methylene Polyphenyl Isocyanate,,1.200,20,,2,2g,D,Y,12,200,5,218,40,Y,Y,drk.brn,N,,Higly poisonous. Consult Sni handling manual
,Voranate M275,,,,,,,,,,,,,,,,,,
Polypropylene Glycol Ataka,,1.000,,,3,,D,N,40,176,,204,38,N,N,white,,,
,Thanol,,,,,,,,,,,,,,,,,,
Polypropylene Glycol Basf Cp3030,,1.000,,,3,,D,N,40,176,,204,49,N,N,white,,,
,Thanol,,,,,,,,,,,,,,,,,,
Polypropylene Glycol Basf MK79,,1.000,,,3,,D,N,40,176,4,204,60,,43,white,,,
,Thanol,,,,,,,,,,,,,,,,,,
Polypropylene Glycol Bayer,,1.000,,,3,,D,N,40,176,7,204,60,24,46,white,,,
,Thanol,,,,,,,,,,,,,,,,,,
Polypropylene Glycol Chugay,,1.000,,,3,,D,N,40,176,7,204,60,24,49,white,,,
,Thanol,,,,,,,,,,,,,,,,,,
Polypropylene Glycol Jefferson,,1.000,,,3,,D,N,40,176,10,204,66,27,52,white,,,
,Thanol,,,,,,,,,,,,,,,,,,
Polypropylene Glycol Kulman,,1.000,,,3,,D,N,40,350,35,204,50,,38,white,,,
,Thanol,,,,,,,,,,,,,,,,,,
Polypropylene Glycol methyl ether,,.983,15,.00064,3,,D,N,40,,,,38,N,N,c-less,,,
,Polypropyleneglycol Methyl ehter,,,,,,,,,,,,,,,,,,
Polypropylene Glycol Nichieman,,1.000,,,3,,D,N,40,176,2,204,49,,38,white,,,
,Thanol,,,,,,,,,,,,,,,,,,
Polypropylene Glycol Olin,,1.000,,,3,,D,N,40,176,7,204,60,24,43,white,,,
,Thanol,,,,,,,,,,,,,,,,,,
Polypropylene Glycol Sumitomo,,1.000,,,3,,D,N,40,176,2,204,49,N,N,white,,,
,Thanol,,,,,,,,,,,,,,,,,,
Polysiloxane,,1.000,,,3,,N,N,,37,,73,,,,ww/pale,,,Get full specs. before booking. ww standard. Hot
,Siloxane,,,,,,,,,,,,,,,Yellow,,,wash. This product same as Dimetyl Polysiloxane
,Oxosilane,,,,,,,,,,,,,,,,,,Marpol annex lll
Polyvinylbenzyl Trimethyl ammon chlor 33%,,1.050,,,2,2g,,Y,43,100,,,38,N,N,cream,Y,,ww standard. Easy cargo. DOW is relucctant to heat
,,,,,,,,,,,,,,,,white,,,adjacent. Pollution category not yet assigned.
,,,,,,,,,,,,,,,,,,,Clean with warm water.
Potassium Hydroxide 45%,,1.400,,,3,2g,C,Y,5,145,-43,,N,,,greyish,Y,1814,Handle as Caustic soda.Heat may be required in
,KOH,,,,,,,,,,,,,,,,,,"cold climate, keep above 15."
,Potassium Hydrate,,,,,,,,,,,,,,,,,,
,Caustic Potash,,,,,,,,,,,,,,,,,,
,LYE,,,,,,,,,,,,,,,,,,
,Potassium Hydroxide 45% or less,,,,,,,,,,,,,,,,,,
Pro-silage,,1.130,,,,,,Y,,54,,,N,N,N,brown,,,Commence cleaning immediately after discharge
,,,,,,,,,,,,,,,,,,,whit warm water max 50 C. Brown color may cause
,,,,,,,,,,,,,,,,,,,"porblem, check all lines etc."
,,,,,,,,,,,,,,,,,,,Not yet classified.
Process/Extender Oils,,,,,,,,,,,,,,,,,,,
,Arco NY-1559-A (a),.920,,,,,,N,33,,,,,38,54,pale,,,Should be handled and treated as a Lube Add.
,ARCO RUBBER SOFTNER (A),.980,,,,,,N,33,,,,,54,54,blk,,,
,ARCO TUFFLO (A) 491,.990,,,,,,N,33,,,,,71,82,blk,,,
,ARCO 6065 (N),.870,,,,,,N,33,,,,,38,38,white,,,
,ARCO 6204 (N),.880,,,,,,N,33,,,,,38,38,ww,,,
,CALTEX RUBBR PRCSS (A),.940,,,,,,N,33,,,,,49,54,pale,,,
,CHEVRON RUBBR PRCSS (N),.940,,,,,,N,33,,,,,49,54,pale,,,
,EXXON FLEXINDRA (N),.900,,,,,,N,33,,,,,N,N,light,,,
,EXXON FLEXON 290(A),.990,,,,,,N,33,,,,,49,60,white,,,
,EXXON FLEXON 641 (N),.900,,,,,,N,33,,,,,N,N,white,,,
,EXXON FLEXON 765 (P),.890,,,,,,N,33,,,,,49,60,red,,,
,EXXON FLEXON 766 (P),.890,,,,,,N,33,,,,,49,60,red,,,
,EXXON FLEXON 769 (P),.880,,,,,,N,33,,,,,49,60,red,,,
,EXXON FLEXON 845 (P),.870,,,,,,N,33,,,,,38,38,white,,,
,GULF RUBBR EXTNDER OIL,.950,,,3,,,N,33,,,,Y,66,71,drk,,,
,HESS EXTENDER OIL (A),.990,,,3,,,N,33,,,,,27,32,,,,
,MOBIL PROCESS H (A),.950,,,,,,N,33,,,,,49,57,drk,,,
,MOBIL PROCESS OIL (P),.840,,,,,,N,33,,,,,N,N,white,,,
,SHELL DUTREX 33 PROC,.950,,,,,,N,33,,,,,16,32,med.drk,,,
,SHELL DUTREX 55 C (A),.970,,,3,,,N,33,,,,,66,66,med.drk,,,
,SHELL DUTREX 718 (A),.970,,,3,,,N,33,,,,,52,66,drk,,,
,SHELL DUTREX 726 (A),.930,,,3,,,N,33,,,,,49,49,drk,,,
,SHELL DUTREX 766 (A),.970,,,3,,,N,33,,,,,66,66,drk,,,
,SHELL DUTREX 786 (A),.970,,,3,,,N,33,,,,,66,66,drk,,,
,SHELL SHELLFLEX N PROC,.930,,,3,,,N,33,,,,,43,43,ple/red,,,
,SHELL SHELLFLEX 213,.900,,,3,,,N,33,,,,,49,49,,,,
,SHELL SHELLFLEX 371,.900,,,3,,,N,33,,,,,49,49,,,,
,SUNOCO CIRCOLGHT RB PR,.910,15,.00085,3,,,N,33,,,,,,,ex.pale,,,
,SUNOCO CIRCOPROCESS (N),.920,20,.00085,3,,,N,33,,,,Y,21,32,ex.pale,,,
,SUNOCO CIRCOSOL (N)304,..890,20,.00085,3,,,N,33,,,,,,,white,,,
,SUNOCO CIRCOSOL (N)306,.900,20,.00085,3,,,N,33,,,,,,,lil white,,,
,SUNOCO CIRCOSOL (N)407,.910,20,.00085,3,,,N,33,,,,,,,cream,,,
,SUNOCO CIRCOSOL (N)410,.920,20,.00085,3,,,N,33,,,,,,,cream,,,
,SUNOCO CIRCOSOL (N)420,.920,20,.00085,3,,,N,33,,,,,,,ex.pale,,,
,SUNOCO CIRCOSOL (N)430,.930,20,.00085,3,,,N,33,,,,,,,ex.pale,,,
,SUNOCO CIRCOSOL (N)450,.930,20,.00085,3,,,N,33,,,,,,,ex.pale,,,
,SUNOCO CIRCOSOL (N)480,.930,20,.00084,3,,,N,33,,,,,,,lem/ple,,,
,SUNOCO CIRCOSOL (N)4130,.940,20,.00085,3,,,N,33,,,,,,,lem/ple,,,
,SUNOCO CIRCOSOL (N)4240,.940,20,.00085,3,,,N,33,,,,,,,ex.orge,,,
,SUNOCO CIRCOSOL (N)5600,.950,20,.00085,3,,,N,33,,,,,,,drk,,,
,SUNOCO SUNDEX (A) 4120,.950,20,.00085,3,,,N,33,,,,,,,drk,,,
,SUNOCO SUNDEX (A) 790,.980,20,.00085,3,,,N,33,,,,Y,49,60,black,,,
,SUNOCO SUNDEX (A) 8125,.990,20,.00085,3,,,N,33,,,,Y,60,66,black,,,
,SUNOCO SUNDEX (A) 8180,,,,3,,,N,33,,,,,,,,,,
,SUNOCO SUNDEX (A) 890,,,,,,,N,33,,,,,,,,,,
,SUNOCO SUNDEX (A) 107,.850,20,.00085,3,,,N,33,,,,,,,white,,,
,SUNOCO SUNDEX (P) 110,.850,20,.00085,3,,,N,33,,,,,,,lil white,,,
,SUNOCO SUNDEX (P) 115,.860,20,.00085,3,,,N,33,,,,,,,lil white,,,
,SUNOCO SUNDEX (P) 120,.860,20,.00085,3,,,N,33,,,,,,,cream,,,
,SUNOCO SUNDEX (P) 130,.870,20,.00085,3,,,N,33,,,,,,,ex.lemon,,,
,SUNOCO SUNDEX (P) 150,.870,20,.00085,3,,,N,33,,,,,,,ex.lemon,,,
,SUNOCO SUNDEX (P) 180,.870,20,.00085,3,,,N,33,,,,,,,ex orge,,,
,SUNOCO SUNDEX (P) 2100,.880,20,.00085,3,,,N,33,,,,,,,pale,,,
,SUNOCO SUNDEX (P) 2150,.880,20,.00085,3,,,N,33,,,,,,,lt red,,,
,SUNOCO SUNDEX (P) 2210,.880,20,.00085,3,,,N,33,,,,,,,lt red,,,
,SUNOCO SUNDEX (P) 2280,.890,20,.00085,3,,,N,33,,,,,,,red,,,
,SUNOCO SUTHENE (N)250,.890,20,.00085,3,,,N,33,,,,,,,cream,,,
,SUNOCO SUTHENE (N)310,.900,20,.00085,3,,,N,33,,,,,,,lilwhite,,,
,SUNOCO SUTHENE (N)380,.920,20,.00085,3,,,N,33,,,,Y,27,38,ex.pale,,,
,SUNOCO SUTHENE (N)410,.900,20,.00085,3,,,N,33,,,,,,,white,,,
,SUNOCO SUTHENE (N)415,.910,20,.00085,3,,,N,33,,,,,,,white,,,
,SUNOCO SUTHENE (N)420,.910,20,.00085,3,,,N,33,,,,,,,white,,,
,SUNOCO SUTHENE (N)450,.930,20,.00085,3,,,N,33,,,,,,,lil white,,,
,SUNOCO SUTHENE (N)480,.930,20,.00085,3,,,N,33,,,,,,,lil white,,,
,SUNOCO SUTHENE (N)3120,.920,20,.00085,3,,,N,33,,,,,,,cream,,,
,SUNOCO SUTHENE (N)4130,.930,20,.00085,3,,,N,33,,,,,,,lily white,,,
,SUNOCO SUTHENE (N)4240,.940,20,.00085,3,,,N,33,,,,Y,38,49,cream,,,
,SUNOCO SUTHENE (N)5600,.940,20,.00085,3,,,N,33,,,,,,,cream,,,
Propanolamine-norm,,.978,,,3,2g,C,Y,8,184,12,79,,,,c.less,Y,,May require heat Fp. 12C
,Amino-3-Propanol-1,,,,,,,,,,,,,,,,,,Ambient wash followed by hot.
,N-propanolamine,,,,,,,,,,,,,,,,,,
Propiolactone-beta,,1.150,,,2,2g,D,Y,,155,-33,75,,,,c.less,Y,,Highly toxic (cargnigious).
,Betaprone,,,,,,,,,,,,,,,,,,Moore info req. Not atuhorized in Us waters.
,Hydracrylic acid,,,,,,,,,,,,,,,,,,
,Lactone-b,,,,,,,,,,,,,,,,,,
,Oxetanone-2,,,,,,,,,,,,,,,,,,
,Propanolide,,,,,,,,,,,,,,,,,,
Propionaldehyde,,.800,20,.01282,3,2g,D,Y,19,48,-80,-18,N,N,N,ww,p.ly,1275,Higly poisinous and flammable liquid. Require 
,Propanal,,,,,,,,,,,,,,,,,,special handling instructions. Contaact Cargo Man.
,Methyl Acetaldehyde,,,,,,,,,,,,,,,,,,for details. UCC has very strict req. expect very slow
,Propaldehyde,,,,,,,,,,,,,,,,,,"loading. Clean with cold sea water, fresh water rinse"
,Propionic Aldehyde,,,,,,,,,,,,,,,,,,Ventilate
Propionic Acid,,.900,,,3,2g,D,Y,4,141,-21,54,38,N,N,clear,Y,1848,Avoid heat adjacent. (38C max)
,Ethanecarboxylic Acid,,,,,,,,,,,,,,,,,,Cold wash steam.
,Methylacetic Acid,,,,,,,,,,,,,,,,,,
,Propanoic Acid,,,,,,,,,,,,,,,,,,
Propionic Anhydride,,1.020,,,3,2g,C,Y,11,169,-45,74,N,N,N,c-less,N,2496,More info required. Cold wash followed by 
,Methylacetic Anhydrine,,,,,,,,,,,,,,,,,,hot and steam. ( Decomposes by water)
,Propanoic Anhydride,,,,,,,,,,,,,,,,,,
,Propionyl Oxide,,,,,,,,,,,,,,,,,,
Propionitrile,,.780,15,,2,1g,C,Y,37,97,-92,12,N,N,N,brn,sli,2404,Highly toxic cargo. Protection and precautions as 
,Propanenitrile,,,,,,,,,,,,,,,,,,for tdi. Have amyl Nitrate capsules ready as an
,Ethyl Cyanide,,,,,,,,,,,,,,,,,,antidose. ww Standard. Warm wash followed by 
,Cyanoethane,,,,,,,,,,,,,,,,,,steam. Reacts with strong Acids and Alkalies.
,,,,,,,,,,,,,,,,,,,Cyanide first aid kit recommended to be available.
Propyl acetate,,.890,,,3,,D,N,34,102,-95,10,N,N,N,c-less,N,1276,More info required
,Acetic acid iospropyl ester,,,,,,,,,,,,,,,,,,
Propyl Alcohol,,.840,,,3,,D,N,20,97,-127,15,37,N,N,ww,Y,1274,If stow Phenolic (Epoxy) ventilate before wash.
,Propanol-1,,,,,,,,,,,,,,,,,,
Propylamine-norm,,.720,,,2,2g,C,Y,7,48,-83,-37,N,N,N,ww,4,1277,Avoid heat adjacent (B.P. 48C) Highly toxic and
,,,,,,,,,,,,,,,,,,,flammable. Clean with ambient temp. water vent.
Propylene Glycol mono methyl Ether,,.920,15,,3,,D,N,40,120,-97,38,N,N,N,ww,Y,,ww standard.DOW will not allow adjacent heat.
,Dowanol PM,,,,,,,,,,,,,,,,,,(similar to Cellosolve). Cold wash followed by hot.
,Methoxy-1-Propanol-2,,,,,,,,,,,,,,,,,,
,Dowanol 33B,,,,,,,,,,,,,,,,,,
"Propylene glycol-1,2",,1.038,15,.00075,3,,N,N,20,187,-60,107,49,N,N,ww,y,,"Check witch grade. ww Standard, dry tank and"
,"Dihydroxypropane-1,2",,,,,,,,,,,,,,,,,,lines. N2 recommended for slack tanks. Hot Wash.
,Methylethylene Glycol,,,,,,,,,,,,,,,,,,Dow may refuse load in Z-11.
,"Propanediol-1,2",,,,,,,,,,,,,,,,,,Pollution category: Appendix lll.
Propylene Oxide,,.834,15,.00124,2,2g,D,Y,16,34,-104,-37,N,N,N,ww,2,1280,Special requirements. Consult SNI handling
,"Epoxy propane-1,2",,,,,,,,,,,,,,,,,,manual. Cooling and N2.
,Methyl Oxirane,,,,,,,,,,,,,,,,,,
,Propene Oxide,,,,,,,,,,,,,,,,,,
Propylene Pentamer,,.760,,,3,,N,N,30,183,-32,64,49,N,N,c-less,5,2850,Slitly Toxic. Easy product. ww standard.
,Tetrapropylene,,,,,,,,,,,,,,,,,,Clean with ambient temp water. Marpol annex lll.
,Propylene Tetramer,,,,,,,,,,,,,,,,,,
,Tetramerk Exxon,,,,,,,,,,,,,,,,,,
,Dodecene Nonlinear,,,,,,,,,,,,,,,,,,
,Tetrapropylene,,,,,,,,,,,,,,,,,,
Propylene Trimer,,.740,,,3,2g,B,Y,30,135,-81,40,49,N,N,cless,,2057,"An olefin. Easy product, no problem. Cold wash."
,Tripropylene,,,,,,,,,,,,,,,,,,Compliance caargo because of pollution hazard.
Pseudocumene,,.871,15,,3,2g,B,Y,32,169,-44,54,38,N,N,ww,N,,Color sensative. N2 recommended. Will soften
,"Trimethylbenzene-1,2,4",,,,,,,,,,,,,,,,,,epoxy coating. Cold wash. Correct name 
,,,,,,,,,,,,,,,,,,,Trimethylbenzene. Exxon Areomatic 100
Pyridine,,.978,,,3,2g,B,Y,9,115,-42,17,38,N,N,ww,Y,1282,Toxic. ww standard. Vapor return normally requiered
,,,,,,,,,,,,,,,,lt.yell,,,Cold wash N2 blanket recommended.
Pyridine bases,,.950,20,.00085,2,2g,B,Y,9,130,,29,amb,N,N,brn,sli,2313,Toxic and corrosive. Compliance cargo with 
,,,,,,,,,,,,,,,,,,,4-Methylpyridine as ref cargo. Clean with cold water
,,,,,,,,,,,,,,,,,,,"followed by hot and steam. If odor problem, use"
,,,,,,,,,,,,,,,,,,,mild Stolt C solution. Pyridine bases not listed by
,,,,,,,,,,,,,,,,,,,"IMO, but should be same as 4-Methylpyridine"
Pyrolisis Fuel,,1.036,77,,3,,,Y,33,,,,Y,N,N,,,,Similar to Carbon BlackFeedstock. Get full spec.
,,,,,,,,,,,,,,,,,,,before booking. Expect cleaning problem- check.
,,,,,,,,,,,,,,,,,,,with Gen Ops. Not Listed by IMO
,,,,,,,,,,,,,,,,,,,
Pyrolisis Gasoline,,.840,,,3,2g,B,Y,33,,,,N,N,N,,N,,This is a compliance cargo if Benzene content is
,,,,,,,,,,,,,,,,,,,10%  or more. Always check. Full  breakdown of 
,,,,,,,,,,,,,,,,,,,components should be requested. Handle and 
,,,,,,,,,,,,,,,,,,,clean as gasoline.
Rapseed oil,,.920,,,3,,D,N,34,177,10,163,49,21,27,,N,,Non drying. Check if crude or refined. Check FFA
,Colza oil,,,,,,,,,,,,,,,,,,if Stowing zinc. Clean with hot water. Use Stolt C
,,,,,,,,,,,,,,,,,,,for final cleaning.
"Reconstituted Californian oil, ER #1",,.910,,,3,,,N,33,,,129,Y,N,N,drk,N,,Partly refined petrolium. Should be no problem.
,ER#1,,,,,,,,,,,,,,,,,,Clean as for Diesel oil.
Regohol,,.750,15,.00085,3,,N,N,33,150,,-40,35,N,N,bronze,negl,,Leaded regular gasoline with 0.5-4.9% Benzene
,Petrol,,,,,,,,,,,,,,,,,,and 10% Ethyl Alcohol. Handle as leaded gasoline.
,Motor spirit,,,,,,,,,,,,,,,,,,Check with Ops. Dep. if have to de lead.
,Leaded Gasoline containing alcohol,,,,,,,,,,,,,,,,,,
Resin concentrate,,.920,,,3,,,N,33,149,,4,49,N,N,lemon,sli,,Reisnous petroleum. Max heat adjacent. ambient.
,Synthetic Resin,,,,,,,,,,,,,,,pale,,,Hto wash immediatly after discharge.
,Petroleum Resin,,,,,,,,,,,,,,,,,,Stolt A or B  for spots.
Resin oil,,.950,,,,,,N,33,149,,4,49,N,N,pale,N,,Check which grade. Avoid heat adjacent. Cold 
,Coumarone oil,,,,,,,,,,,,,,,lt brown,,,"wash followed by hot and steam. Strong odor,"
,,,,,,,,,,,,,,,,,,,use Stolt A or B for final cleaning. Not listed by IMO
Resin Plasticizer HB40,,1.000,25,.00741,3,,,N,34,343,-24,177,38,N,N,lemon,N,,Monsanto trade name. Avoid heat adjacent. 
,Santasol 340,,,,,,,,,,,,,,,,,,"Clean with warm water, if oily bulkheads use Stolt"
,HB40,,,,,,,,,,,,,,,,,,"A or B Not listed  by IMO under this name, must"
,,,,,,,,,,,,,,,,,,,have correct chemiclal name.
Rice Bran Acid Oil,,.910,25,,3,,D,N,34,204,26,,Y,Y,Y,brownish,N,,Check if any inorganic acid present. Heat may be 
,Acidulated Rice Bran Oil,,,,,,,,,,,,,,,,,,"required in cold climate. Hot wash, use Stolt C final."
Rosin Acid Oil,,.970,,,,,,,N,,,,,,60,,N,,Mixture of Rosin Oil and Tally Fatty Acid. Must have
,Rosin soap (Disproportionated solution),,,,,,,,,,,,,,,,,,full specs. and heating instructions. All coatings
,,,,,,,,,,,,,,,,,,,"exept zinc should be OK. Clean with hot water, inject"
,,,,,,,,,,,,,,,,,,,Stolt C or resirculate with 2-3% Stolt C solution.
,,,,,,,,,,,,,,,,,,,Stolt LAC for spots. Not listed By IMO
Rosin soap (Disproportionated solution),,1.100,15,,3,2g,B,Y,,,,,,,,brn,Y,,PH is 9 to 10. Check heating instr. melting point
,Rosin soap,,,,,,,,,,,,,,,,,,and viscosity. Warm water and Stolt C.
Rum Crude,,.840,,,,,,N,20,,,,N,N,N,,,,
Safflower oil,,.910,,,3,,D,N,34,260,-13,149,49,27,27,,N,,Drying oil. Heating may be required in very cold
,,,,,,,,,,,,,,,,,,,climate. Avoid heat adjacent. Immediately wash
,,,,,,,,,,,,,,,,,,,"cold water, then with warm water. Use Stolt C for "
,,,,,,,,,,,,,,,,,,,final cleaning.
Santicizer 140,,1.200,,,,,,N,34,260,,232,48,N,N,clear,N,,"N2 may be required, recommended on slack tanks."
,Cresyl Diphenyl Phosphate-Mixed,,,,,,,,,,,,,,,,,,Get more infos from Monsanto. Not listed by IMO
Santicizer 148,,1.100,,,,,,N,34,204,,235,38,N,N,clear,N,,Get more infos from Monsanto. Not listed by IMO
,Isodecyl Diphenyl Phosphate,,,,,,,,,,,,,,,,,,
Santicizer 160/261,,1.100,,,2,2g,A,Y,34,243,,202,38,N,N,clear,N,,"N2 may be required, recommended on slack tanks."
,,,,,,,,,,,,,,,,,,,Hot wash. Correct IMO name is Butyl Benzyl Phthalate
Santicizer 711,,.970,,,3,,,N,34,315,,216,49,N,N,clear,N,,"N2 may be required, recommended on slack tanks."
,DL 711P Shell,,,,,,,,,,,,,,,,,,Hot wash  Not listed By IMO.
,DI-n-Alkyl Phthalate,,,,,,,,,,,,,,,,,,
Santicizer 790,,.980,,,3,,,N,34,204,,149,38,N,N,clear,N,,"N2 may be required, recommended on slack tanks."
,,,,,,,,,,,,,,,,,,,Hot wash  Not listed By IMO. Must have correct
,,,,,,,,,,,,,,,,,,,chemical name.
Seal Oil,,.920,,,3,,D,N,33,204,-67,149,49,30,41,white to,N,,Check grade. May require some heat
,,,,,,,,,,,,,,,,brown,,,Check FFA. Hot wash. Stolt A or B
Sesam Oil,,.919,20,,3,,D,N,34,,-5,,N,N,N,lt.yellow,N,,Semi drying oil. Carry aas any such oil. heating not 
,,,,,,,,,,,,,,,,,,,required in normal climate. Clean immediatley
,,,,,,,,,,,,,,,,,,,"with cold water, followed by hot and injection with"
,,,,,,,,,,,,,,,,,,,appr 1 % Stolt C. or recirculate or Spray with Stolt C
,,,,,,,,,,,,,,,,,,,solution.
Shea Butter,,.900,40,,3,,D,N,34,149,38,177,Y,54,66,white to,N,,Get heating instructions. May leave sediment if
,Shea fat,,,,,,,,,,,,,,,gray,,,"discharge temp is too low. High FFA, check"
,,,,,,,,,,,,,,,,,,,Difficult to clean. Hot water and Stolt C. Use 
,,,,,,,,,,,,,,,,,,,Stolt LAC for spots.
Shellbled A,,.830,,,3,,,N,18,121,,27,38,N,N,ww,ss,,N2 may be requested. Avoid heat adjacent. Cold 
,MIBK/MEK/Acetate,,,,,,,,,,,,,,,,,,wash.
Silica Slurry,,1.360,15,,3,,N,N,,,,,Y,N,N,,y,,Prolem cargo. Must have special pumping equi-
,,,,,,,,,,,,,,,,,,,ment - very abrasive to pump seals. Not listed in
,,,,,,,,,,,,,,,,,,,"any resistancy lists, but should be ok coating wise."
,,,,,,,,,,,,,,,,,,,"Not classified, but should be non compliance."
"Soapstocks, Coco",,,,,3,,D,N,34,177,32,160,Y,57,57,c.less,N,,Be sure to have max. dischaarge temp before
,,,,,,,,,,,,,,,,l.yellow,,,arrival. In cold water bring temperature even
,,,,,,,,,,,,,,,,,,,higher. Hot wash and Stolt LAC.
